Pair,Ticker1,Ticker2,p_value,n,q_value,rank
GEN-PNC,GEN,PNC,0.1314124635904793,403,0.25517206439251033,4001
CTVA-FAST,CTVA,FAST,0.13147012484238135,404,0.2551945106242205,4002
COP-PSX,COP,PSX,0.13150027994426766,403,0.2551945106242205,4003
BDX-COO,BDX,COO,0.13152256668031648,404,0.2551945106242205,4004
MRNA-T,MRNA,T,0.1316536979554731,404,0.2553851633997679,4005
ADM-MRNA,ADM,MRNA,0.13169840815042477,403,0.2554081210485896,4006
BAC-GOOGL,BAC,GOOGL,0.13178447745128685,403,0.25551125663065827,4007
ETN-PNR,ETN,PNR,0.13185452474006565,404,0.25558328410817616,4008
CTAS-WELL,CTAS,WELL,0.13189151259391074,404,0.25559121011276936,4009
DGX-ETR,DGX,ETR,0.13207034365384773,403,0.25583234074646005,4010
FOX-NWS,FOX,NWS,0.13210557298722975,404,0.25583234074646005,4011
LEN-TTWO,LEN,TTWO,0.13214051605667032,403,0.25583234074646005,4012
ABNB-HST,ABNB,HST,0.13214766165729747,404,0.25583234074646005,4013
AEP-NEM,AEP,NEM,0.13222903257499202,404,0.25592609717865294,4014
GNRC-URI,GNRC,URI,0.13235612337307262,404,0.2561082745916317,4015
BIIB-FOXA,BIIB,FOXA,0.132402281345887,403,0.256133795761005,4016
DHI-PHM,DHI,PHM,0.13244440913469452,404,0.25615150972552697,4017
CFG-RF,CFG,RF,0.1325834448461048,404,0.25631351710361433,4018
CAG-SCHW,CAG,SCHW,0.13259415951080267,404,0.25631351710361433,4019
AOS-PSX,AOS,PSX,0.13263106934581098,403,0.25632108899194167,4020
AXP-PNR,AXP,PNR,0.13270280330384937,404,0.25638180400586047,4021
BLDR-GPN,BLDR,GPN,0.13272848702684653,404,0.25638180400586047,4022
AMCR-AVB,AMCR,AVB,0.13281086704854217,404,0.2563973391629367,4023
GLW-NVDA,GLW,NVDA,0.13281476456136115,403,0.2563973391629367,4024
BALL-NDSN,BALL,NDSN,0.13288021292873287,404,0.2563973391629367,4025
MCD-XEL,MCD,XEL,0.1328835254969088,404,0.2563973391629367,4026
BKNG-PLTR,BKNG,PLTR,0.1329015426450182,404,0.2563973391629367,4027
IQV-POOL,IQV,POOL,0.13307053064012675,404,0.2566596207902544,4028
GE-WM,GE,WM,0.1332106013166114,404,0.2568660118214827,4029
CRL-TXT,CRL,TXT,0.13335224623012237,404,0.257053701189388,4030
V-VRSN,V,VRSN,0.1333741111461479,403,0.257053701189388,4031
APO-HD,APO,HD,0.13347522745193213,404,0.25718478226043173,4032
CNP-ODFL,CNP,ODFL,0.13351988553287364,404,0.25720703959952773,4033
EL-PNW,EL,PNW,0.13375214482769482,404,0.2575905833332576,4034
AJG-PNW,AJG,PNW,0.1339141380019669,404,0.25783864637850823,4035
COO-UNH,COO,UNH,0.13398866730261733,404,0.25789174046419766,4036
ENPH-HAL,ENPH,HAL,0.13400810352091208,404,0.25789174046419766,4037
DVN-NXPI,DVN,NXPI,0.13410623639463692,404,0.2580166791852239,4038
CBOE-WEC,CBOE,WEC,0.13428259711021384,404,0.25829202697431325,4039
PNC-PNR,PNC,PNR,0.13433484584758887,404,0.2583285686608708,4040
DECK-KMX,DECK,KMX,0.13440838722377207,404,0.25840602829534404,4041
BIIB-HUM,BIIB,HUM,0.13456992509012744,403,0.2586419972280201,4042
MA-WTW,MA,WTW,0.13466179852470245,404,0.2586419972280201,4043
HII-TPL,HII,TPL,0.13471906552570068,404,0.2586419972280201,4044
AFL-PNW,AFL,PNW,0.13472706077737212,403,0.2586419972280201,4045
AMCR-MHK,AMCR,MHK,0.13474625033888216,404,0.2586419972280201,4046
K-KMI,K,KMI,0.1347572017295514,403,0.2586419972280201,4047
CARR-FITB,CARR,FITB,0.13476416588737616,403,0.2586419972280201,4048
GRMN-TRGP,GRMN,TRGP,0.13519790860156777,404,0.25941036105842924,4049
KEY-NCLH,KEY,NCLH,0.13542892700560322,404,0.2596879799855667,4050
ADBE-TPR,ADBE,TPR,0.1354500759073461,404,0.2596879799855667,4051
MMM-WMT,MMM,WMT,0.13545889568554825,404,0.2596879799855667,4052
AIZ-CMI,AIZ,CMI,0.13549904123224538,404,0.2596879799855667,4053
AMCR-UDR,AMCR,UDR,0.13550972723149535,404,0.2596879799855667,4054
DASH-MRNA,DASH,MRNA,0.13570613818718508,404,0.2598458287364401,4055
K-KVUE,K,KVUE,0.1357187455290066,403,0.2598458287364401,4056
BF-B-HWM,BF-B,HWM,0.13572635497458602,404,0.2598458287364401,4057
AXP-GM,AXP,GM,0.13573968245840484,404,0.2598458287364401,4058
RJF-TRMB,RJF,TRMB,0.13575932794969886,404,0.2598458287364401,4059
CTAS-NEM,CTAS,NEM,0.13588664200139206,404,0.2600254486967524,4060
JPM-WM,JPM,WM,0.13594068247924107,404,0.26005600438591303,4061
CCL-GEV,CCL,GEV,0.13600765922597224,345,0.26005600438591303,4062
FCX-QCOM,FCX,QCOM,0.136035273406317,404,0.26005600438591303,4063
ADBE-PPG,ADBE,PPG,0.13603650428940023,404,0.26005600438591303,4064
ABBV-PGR,ABBV,PGR,0.13619834802239655,403,0.26021610099001385,4065
AIG-DTE,AIG,DTE,0.13622890606283533,404,0.26021610099001385,4066
DASH-SYK,DASH,SYK,0.13628061430779714,404,0.26021610099001385,4067
FTV-ODFL,FTV,ODFL,0.13630395740872636,404,0.26021610099001385,4068
CFG-HLT,CFG,HLT,0.1363892028583984,404,0.26021610099001385,4069
PNC-USB,PNC,USB,0.1363958781745117,404,0.26021610099001385,4070
MRK-TGT,MRK,TGT,0.1364307983475601,404,0.26021610099001385,4071
